mean_mfcc1,mean_mfcc2,mean_mfcc3,std_mfcc1,std_mfcc2,std_mfcc3,mean_delta_mfcc1,mean_delta_mfcc2,mean_delta_mfcc3,mean_delta2_mfcc1,mean_delta2_mfcc2,mean_delta2_mfcc3,std_delta_mfcc1,std_delta_mfcc2,std_delta_mfcc3,std_delta2_mfcc1,std_delta2_mfcc2,std_delta2_mfcc3,avg_peak_to_peak_1st_MFCC,RMS_1st_MFCC,Spectral_Centroid_1st_MFCC,Range_Val_1st_MFCC,Max_Val_1st_MFCC,Min_Val_1st_MFCC,avg_peak_to_peak_2nd_MFCC,RMS_2nd_MFCC,Spectral_Centroid_2nd_MFCC,Range_Val_2nd_MFCC,Max_Val_2nd_MFCC,Min_Val_2nd_MFCC,Max_Delta_Change_1st_MFCC,Max_Delta_Change_2nd_MFCC,Sum_Abs_Diff_Moving_Avg_1st_MFCC,Sum_Abs_Diff_Moving_Avg_2nd_MFCC
-237.71866170242603,158.86237878021274,1.7551886788790045,82.45983995181794,35.9226368616002,23.359647293219556,0.0004453905210367277,-0.0005353074828544746,0.00033228497355579855,0.0002836765650122327,-0.00034824814425127743,0.00021416016651315092,5.466544729806904,3.3332713209272846,1.817850852927438,3.067556807242921,2.00518288398508,1.07406638084447,86.24536833538461,251.61436232153343,2.5553330455277234e-17,461.200687,-45.292313,-506.493,53.13641067384614,162.87323669282867,-4.55436663608335e-18,234.517009,220.48361,-14.033399,7.175833460128979,5.046251905373242,26.925689548373427,15.159802627388
-235.8437244865099,147.083847112642,-8.683155704544196,97.00935922427574,31.501939900374555,21.783388118168002,0.00016808092245537652,1.017966915830408e-05,0.00015688642319502532,2.3599337957908985e-05,-0.0001129711727880658,-1.8567428874562878e-05,4.42374409396118,2.31592060699874,1.6759533872043488,2.019746749539676,1.2407733914393813,0.8296725981244268,58.07177710749186,255.01583903117347,6.6148876524831985e-18,523.550974,-65.715126,-589.2661,34.72722705957655,150.41951435549132,9.547407001773592e-18,232.73408400000002,230.22067,-2.513414,4.393560785025463,3.2255372317412503,23.077098606787295,11.365788479579216
-150.18066295874812,126.28624116837452,-45.66007227126532,108.30337039073132,35.745359870220256,28.293078085749137,2.498644543859724e-06,3.573866233034438e-06,3.690891451905253e-06,-1.3216793988290934e-06,-1.8454944935450492e-06,-1.7778146858575691e-06,17.487113841341678,5.170520847078764,4.811382210137162,9.32052589143732,2.915036065029538,2.4695870574821965,227.002575453854,185.15898996462752,4.151886323678346e-18,549.55663,60.60338,-488.95325,77.3346367933497,131.24764935300135,0.0,293.509845,218.80273,-74.707115,20.666252957734358,7.64208248959694,61.0939410687696,21.31410264147825
-250.22952076105963,91.38764727546018,-51.73082091670024,98.55777794233244,32.53701079606688,25.438076815070687,8.689743106306445e-16,-3.214014573565397e-16,1.7781238034308566e-16,-3.542483887044361e-15,1.2854430827391295e-15,-7.119470071738975e-16,7.630486144662972,4.287507822624506,2.7484783878151977,5.091499274287462,2.838113250155547,1.6430663509729186,114.2249399355346,268.9394888320413,-1.336654180281909e-17,512.499055,-109.973145,-622.4722,70.2813015391195,97.00700565468094,-3.032155388932195e-18,202.410897,201.9951,-0.415797,11.846660986231088,7.742953803997854,36.101989598950844,20.10461775888537
-254.27760420761146,204.5799740739894,-47.36758184884564,40.442019138877,16.82140755601966,21.12245717762614,-0.0023664470399814537,-0.0025412273959425124,-0.0002717937782825325,-0.003782116934553695,-0.003001552382875724,3.544977887709414e-05,5.716418490108979,2.440771185931095,2.9644350128572907,2.725376525542271,1.4126123035397409,1.414184480035019,87.80950914772728,257.4736043045811,-1.1681856050427975e-06,438.60751,-134.45279,-573.0603,41.12025809801136,205.27037181307946,-1.001033015902035e-06,248.8786569,249.42326,0.5446031,7.528838644324529,4.526520018081984,26.15924857875604,10.825018483477754
-186.38540886796986,125.59658245832253,-28.13823877959575,71.22581447209622,27.767527255415978,18.53593885460245,7.779164956222507e-05,0.00011504368638181257,0.00012738924985009298,-3.1944550985337985e-06,5.286905563610605e-08,1.1390061573803444e-05,7.3863193891682375,3.4315918990916225,2.238517247616564,3.773040599839131,1.7938021299291929,1.2919032556733283,110.99002533649289,199.53104341453675,3.2985764382862333e-18,523.762346,-14.797104,-538.55945,56.710959666066344,128.6294565606591,-6.494874468373018e-18,224.69108,206.12135,-18.56973,9.286800935232261,5.364726858256229,36.10299933473206,17.53759227103085
-274.45199584143006,166.65253411051927,-64.70450817098877,77.58343151905918,31.06977465166463,25.552740603264855,9.479715678164758e-16,-5.738556982434185e-16,2.290667082767237e-16,-3.4890069774934363e-15,2.3155354840550647e-15,-9.051454066345495e-16,8.5364474610305,2.7502020997392753,2.8381309767965637,4.031910640830656,1.374445088231529,1.3806105703581297,136.2159708358459,285.207094700705,4.903993548321132e-18,525.50714,-110.60651,-636.11365,46.213602460636515,169.52403376029903,1.0815817426817334e-17,240.3313,240.3313,0.0,9.64795331797646,4.285441975291427,34.67743152892632,13.185524423077137
-144.20637682320756,125.39117016353461,-26.56589258933822,104.47733191530583,38.74995489706746,23.13846746442851,-0.00013009577192156526,-0.00018385608686957301,-0.0001834738864075429,-8.957517947488772e-05,-0.00012648858191581467,-0.0001259155935998606,11.6770797476744,5.159603765255708,3.0670328409864083,5.356924474410379,2.240694458168339,1.5546148666328488,167.03181506494775,178.0758040852769,-7.37165955313184e-06,559.0067429999999,27.711243,-531.2955,79.43763983847185,131.24215999253158,-3.619234357805468e-06,314.062405,224.69936,-89.363045,11.579303095680526,5.991116662709246,48.18999210107636,24.333536312651933
-262.47935604708937,196.66309364508712,-67.14680301749611,50.71987748925449,24.565931927543534,34.38741145940916,-0.006490227660362467,-0.0034753582560876906,0.0021179397355088206,-0.0012557788034520685,-0.0011638751900031753,0.00024144994500771647,2.8217260971320246,1.7218555523917467,1.9372064957833866,1.4380862728109003,0.9301193276200168,1.035394509193175,44.91614957730812,267.33484307777707,-1.4219362446144179e-06,367.65652,-166.70871,-534.36523,30.256022624026695,198.1914665507196,-5.144105464368295e-06,201.69512500000002,254.29964,52.604515,4.390026913607712,3.3522469637374863,19.473646030474605,11.871933329054874
-190.55742535587584,192.93360966162535,-15.213036162732072,52.64216519512984,31.00004872339608,22.203714195862705,0.0002631318058641681,0.0003595952780010767,0.0003253446247956762,0.00017047940748547052,0.00023161168391497048,0.0002058733794082375,4.3735253158720315,2.543341368860589,2.586614018247361,2.3780830479121184,1.3760920645082815,1.4875766453718609,67.66298944959678,197.69504271653227,-1.1096913650868254e-06,443.65091,-72.48359,-516.1345,42.29989668927371,195.40824127430588,-3.6679954575816916e-06,268.27350275952,268.27307,-0.00043275952,6.587648230699456,4.310432994272628,24.621696612852247,15.8343781174993
